&*******************;*********;*******;*******;******;***;***********
&                   ;CodPEE   ;PerIni ;PerFin ;Pat   ;Cen;GerEolica
&-                  ;         ;       ;       ;      ;   ;MW
PEE-GER-PER-PAT-CEN;1;6;6;1;65;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;65;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;65;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;66;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;66;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;66;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;67;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;67;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;67;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;68;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;68;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;68;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;69;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;69;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;69;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;70;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;70;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;70;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;71;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;71;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;71;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;72;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;72;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;72;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;73;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;73;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;73;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;74;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;74;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;74;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;75;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;75;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;75;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;76;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;76;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;76;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;77;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;77;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;77;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;78;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;78;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;78;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;79;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;79;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;79;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;80;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;80;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;80;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;81;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;81;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;81;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;82;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;82;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;82;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;83;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;83;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;83;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;84;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;84;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;84;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;85;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;85;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;85;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;86;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;86;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;86;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;87;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;87;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;87;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;88;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;88;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;88;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;89;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;89;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;89;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;90;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;90;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;90;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;91;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;91;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;91;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;92;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;92;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;92;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;93;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;93;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;93;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;94;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;94;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;94;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;95;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;95;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;95;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;96;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;96;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;96;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;97;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;97;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;97;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;98;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;98;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;98;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;99;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;99;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;99;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;100;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;100;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;100;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;101;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;101;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;101;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;102;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;102;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;102;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;103;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;103;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;103;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;104;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;104;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;104;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;105;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;105;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;105;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;106;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;106;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;106;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;107;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;107;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;107;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;108;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;108;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;108;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;109;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;109;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;109;6.1113
