modelo,deck,tipo,codigo,nome,potencia_efetiva,fcmax,teif,ip,arquivo_origem,tipo_combustivel
NEWAVE,NW202502,Usina Térmica Individual,322,BBF BALIZA,,94.0,1.17,5.63,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,323,BONFIM,,100.0,2.0,2.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,324,CANTA,,100.0,2.0,2.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,326,JAGUATIRI II,,100.0,2.5,1.5,TERM.DAT,
DECOMP,DC202509-sem1,Usina Térmica Individual,326,JAGUATI II,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,327,M.CRISTO SUC,,96.0,2.0,1.0,TERM.DAT,
DECOMP,DC202509-sem1,Usina Térmica Individual,327,M.C.SUCUBA,,,,,dadger..rv0,
DECOMP,DC202509-sem1,Usina Térmica Individual,328,PALMAPLAN,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,328,PALMAPLAN 2,,100.0,0.91,1.36,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,329,PAU RAINHA,,100.0,2.0,2.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,330,SANTA LUZ,,100.0,2.0,2.0,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,334,W.ARJONA,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,334,W. ARJONA,,100.0,6.22,28.39,TERM.DAT,
NEWAVE,NW202601,Usina Térmica Individual,415,LORM_MCH,,100.0,2.23,2.15,TERM.DAT,
DECOMP,DC202601-sem1,Usina Térmica Individual,415,LORM,,,,,dadger..rv0,
DECOMP,DC202512-sem1,Usina Térmica Individual,424,J.LACERC_F,,,,,dadger..rv0,
DECOMP,DC202512-sem1,Usina Térmica Individual,425,J.LACERB_F,,,,,dadger..rv0,
DECOMP,DC202512-sem1,Usina Térmica Individual,426,J.LACA1_F,,,,,dadger..rv0,
DECOMP,DC202512-sem1,Usina Térmica Individual,427,J.LACA2_F,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,434,W.ARJONA O,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,435,URUGUAIA_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,443,T.BAHIA_F,,,,,dadger..rv0,
DECOMP,DC202503-sem1,Usina Térmica Individual,446,N.VENEC2_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,447,TERMORIO_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,448,ARAUCARI_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,449,VIANA_F,,,,,dadger..rv0,
NEWAVE,NW202601,Usina Térmica Individual,451,POVOACAO_MCH,,100.0,1.43,0.88,TERM.DAT,
DECOMP,DC202504-sem1,Usina Térmica Individual,454,J.FORA_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,458,TERMOCEA_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,460,NORTEFLU_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,462,SEROPEDI_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,463,IBIRITE_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,464,CANOAS_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,468,T.LAGOAS_F,,,,,dadger..rv0,
